name,team,position,price,ExpPts,Squad,XI
Erling Haaland,Man City,FWD,14.8,5.975235853987722,1,1
Mohamed Salah,Liverpool,MID,13.7,6.848000794687976,1,1
Omar Marmoush,Man City,FWD,0.0,5.2075225597903225,1,1
Cole Palmer,Chelsea,MID,11.4,5.354891024656884,1,1
Bryan Mbeumo,Brentford,MID,7.8,5.209159942124786,1,1
Joško Gvardiol,Man City,DEF,6.0,3.5770353768558376,1,1
Bukayo Saka,Arsenal,MID,10.2,4.9159535227798035,1,1
Marco Asensio,Aston Villa,MID,0.1,4.48227352589656,1,1
Matz Sels,Nott'm Forest,GK,4.9,2.6932557485007114,1,1
Trent Alexander-Arnold,Liverpool,DEF,7.2,3.4065786506437123,1,1
Pedro Porro,Spurs,DEF,5.5,3.1392923276278255,1,1
