name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Erling Haaland,Man City,FWD,36,Southampton,False,2.85,0.87,0.9113077202338422,1.253307720233842,0.868255281309892,0.2,17,1150,1060
Mohamed Salah,Liverpool,MID,36,Arsenal,True,0.6,0.71,0.9776794108669111,1.049679410866911,0.70504770856026,0.12,1,1340,1300
Omar Marmoush,Man City,FWD,36,Southampton,False,2.85,0.56,0.4340280173456405,0.7760280173456404,0.558023474432561,0.2,17,1150,1060
Chris Wood,Nott'm Forest,FWD,36,Leicester,True,2.2,0.51,0.43829105420221964,0.7022910542022196,0.5100944483893375,0.2,11,1200,1090
Yoane Wissa,Brentford,FWD,36,Ipswich,False,1.2,0.37,0.34394230791138697,0.48794230791138693,0.3707677633002962,0.2,10,1080,1080
Cole Palmer,Chelsea,MID,36,Newcastle,False,-0.6,0.33,0.5514037231473378,0.4794037231473378,0.3343685115425374,0.12,15,1150,1250
Sávio 'Savinho' Moreira de Oliveira,Man City,MID,36,Southampton,False,2.85,0.32,0.10764466268168071,0.44964466268168063,0.3150251222398602,0.11399999999999999,17,1150,1060
Alexander Isak,Newcastle,FWD,36,Chelsea,True,-2.2,0.3,0.6474296550546732,0.3834296550546732,0.3028345389434323,0.2,6,1140,1320
Bryan Mbeumo,Brentford,MID,36,Ipswich,False,1.2,0.3,0.28832305617585413,0.4323230561758541,0.3037660780110729,0.12,10,1080,1080
Raúl Jiménez,Fulham,FWD,36,Everton,True,0.75,0.28,0.2512611539808231,0.341261153980823,0.2754250132454297,0.2,8,1150,1100
Phil Foden,Man City,MID,36,Southampton,False,2.85,0.28,0.049854019146471966,0.3918540191464719,0.2774612039419745,0.11213333333333333,17,1150,1060
Kevin De Bruyne,Man City,MID,36,Southampton,False,2.85,0.26,0.030667580730080735,0.37266758073008066,0.26499001897132024,0.0876551724137931,17,1150,1060
Ollie Watkins,Aston Villa,FWD,36,Bournemouth,False,-0.8,0.26,0.41827215962142433,0.3222721596214244,0.2630821669118206,0.2,3,1160,1260
Kai Havertz,Arsenal,FWD,36,Liverpool,False,-0.2,0.26,0.3387226862404881,0.3147226862404881,0.258175009214212,0.2,12,1370,1370
Bernardo Veiga de Carvalho e Silva,Man City,MID,36,Southampton,False,2.85,0.26,0.02301350350579426,0.3650135035057942,0.26001486877553404,0.12,17,1150,1060
Joško Gvardiol,Man City,DEF,36,Southampton,False,2.85,0.25,0.027793474499356846,0.36979347449935673,0.2469602292821272,0.06,17,1150,1060
Ilkay Gündogan,Man City,MID,36,Southampton,False,2.85,0.25,0.0074099025974025965,0.3494099025974025,0.2498725281850794,0.12,17,1150,1060
Matheus Luiz Nunes,Man City,MID,36,Southampton,False,2.85,0.25,0.0,0.3419999999999999,0.24505609149676771,0.08413793103448276,17,1150,1060
Mateo Kovačić,Man City,MID,36,Southampton,False,2.85,0.25,0.0037927350427350427,0.34579273504273494,0.2475213692745455,0.12,17,1150,1060
Nico González,Man City,MID,36,Southampton,False,2.85,0.25,0.0002380952380952381,0.3422380952380952,0.24521085340152965,0.12,17,1150,1060
Jérémy Doku,Man City,MID,36,Southampton,False,2.85,0.25,0.005416666666666668,0.3474166666666666,0.24857692483010108,0.0846,17,1150,1060
Bukayo Saka,Arsenal,MID,36,Liverpool,False,-0.2,0.25,0.3681125806855686,0.3441125806855686,0.24642926894238737,0.11366666666666667,12,1370,1370
Nicolas Jackson,Chelsea,FWD,36,Newcastle,False,-0.6,0.24,0.35893590763811345,0.2869359076381135,0.24011360312266852,0.2,15,1150,1250
Marco Asensio,Aston Villa,MID,36,Bournemouth,False,-0.8,0.24,0.43535016322945674,0.33935016322945677,0.24333369759591467,0.112,3,1160,1260
Matheus Santos Carneiro Da Cunha,Wolves,FWD,36,Brighton,True,-1.45,0.23,0.45256662974967937,0.2785666297496794,0.23467357249518633,0.2,5,1070,1160
Nathan Aké,Man City,DEF,36,Southampton,False,2.85,0.23,0.0008333333333333333,0.34283333333333327,0.22943613752421196,0.030772727272727275,17,1150,1060
Manuel Akanji,Man City,DEF,36,Southampton,False,2.85,0.23,0.00041666666666666664,0.3424166666666666,0.22916530419087863,0.06,17,1150,1060
Morgan Gibbs-White,Nott'm Forest,MID,36,Leicester,True,2.2,0.23,0.050598086826027996,0.31459808682602797,0.22724484793368596,0.12,11,1200,1090
Abdukodir Khusanov,Man City,DEF,36,Southampton,False,2.85,0.23,0.00073062558356676,0.34273062558356665,0.22936937748686367,0.06,17,1150,1060
Rico Lewis,Man City,DEF,36,Southampton,False,2.85,0.23,0.0024305555555555556,0.34443055555555546,0.23047433196865638,0.06,17,1150,1060
Kyle Walker,Man City,DEF,36,Southampton,False,2.85,0.23,0.0005555555555555556,0.34255555555555545,0.2292555819686564,0.046,17,1150,1060
Rúben Gato Alves Dias,Man City,DEF,36,Southampton,False,2.85,0.23,0.0020416666666666665,0.3440416666666666,0.2302215541908786,0.05962068965517241,17,1150,1060
Anthony Elanga,Nott'm Forest,MID,36,Leicester,True,2.2,0.23,0.052081250393750375,0.31608125039375035,0.2282089042527055,0.12,11,1200,1090
Luis Díaz,Liverpool,MID,36,Arsenal,True,0.6,0.22,0.23911549135481913,0.3111154913548191,0.2249811608774002,0.12,1,1340,1300
Stefan Ortega Moreno,Man City,GK,36,Southampton,False,2.85,0.22,0.0025,0.3444999999999999,0.22392499999999996,0.006007246376811594,17,1150,1060
Ederson Santana de Moraes,Man City,GK,36,Southampton,False,2.85,0.22,0.00125,0.3432499999999999,0.22311249999999994,0.01,17,1150,1060
Callum Hudson-Odoi,Nott'm Forest,MID,36,Leicester,True,2.2,0.21,0.01777821021571022,0.2817782102157102,0.20591192813697942,0.12,11,1200,1090
Brennan Johnson,Spurs,MID,36,Crystal Palace,True,-0.1,0.21,0.2971858509137922,0.2851858509137922,0.20812689459073272,0.12,7,1090,1120
Dominic Calvert-Lewin,Everton,FWD,36,Fulham,False,-0.35,0.2,0.041790022477522476,0.0,0.05360526315789473,0.2,9,1140,1150
Jamie Vardy,Leicester,FWD,36,Nott'm Forest,False,-2.2,0.2,0.041633116883116876,0.0,0.05360526315789473,0.2,16,1080,1190
Ryan Yates,Nott'm Forest,MID,36,Leicester,True,2.2,0.2,0.002534722222222222,0.2665347222222222,0.1960036609412122,0.118,11,1200,1090
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,36,Aston Villa,True,-1.6,0.2,0.33308413808413817,0.14108413808413814,0.14530995291258453,0.2,2,1130,1270
Iliman Ndiaye,Everton,FWD,36,Fulham,False,-0.35,0.2,0.018759920634920636,0.0,0.05360526315789473,0.2,9,1140,1150
Dominic Solanke-Mitchell,Spurs,FWD,36,Crystal Palace,True,-0.1,0.2,0.08200080475080475,0.07000080475080481,0.09910578624591786,0.2,7,1090,1120
Jørgen Strand Larsen,Wolves,FWD,36,Brighton,True,-1.45,0.2,0.20431387566681683,0.030313875666816814,0.07330928234132567,0.2,5,1070,1160
Elliot Anderson,Nott'm Forest,MID,36,Leicester,True,2.2,0.2,0.0021805555555555554,0.26618055555555553,0.19577345260787887,0.12,11,1200,1090
Jean-Philippe Mateta,Crystal Palace,FWD,36,Spurs,False,-0.9,0.2,0.120522089022089,0.01252208902208897,0.06174462102225256,0.2,18,1140,1210
João Pedro Junqueira de Jesus,Brighton,FWD,36,Wolves,False,0.75,0.2,0.11836425553613056,0.2083642555361305,0.18904202925637956,0.19645833333333335,20,1140,1120
Liam Delap,Ipswich,FWD,36,Brentford,True,-3.6,0.2,0.05588929126429126,0.0,0.05360526315789473,0.2,4,1070,1310
Jarrod Bowen,West Ham,MID,36,Man Utd,False,-0.45,0.19,0.310165438988612,0.25616543898861194,0.18926362683936554,0.12,14,1080,1110
Odsonne Edouard,Crystal Palace,FWD,36,Spurs,False,-0.9,0.19,0.016033459595959594,0.0,0.05360526315789473,0.19166666666666668,18,1140,1210
Nicolás Domínguez,Nott'm Forest,MID,36,Leicester,True,2.2,0.19,0.0,0.26399999999999996,0.19435609149676775,0.10045161290322581,11,1200,1090
Nikola Milenković,Nott'm Forest,DEF,36,Leicester,True,2.2,0.19,0.017196275946275947,0.2811962759462759,0.18937205022262465,0.06,11,1200,1090
Neco Williams,Nott'm Forest,DEF,36,Leicester,True,2.2,0.18,0.008960497835497835,0.2729604978354978,0.18401879445061892,0.06,11,1200,1090
Mitoma Kaoru,Brighton,MID,36,Wolves,False,0.75,0.18,0.15642463853089988,0.24642463853089983,0.18293210654185266,0.12,20,1140,1120
Adam Armstrong,Southampton,FWD,36,Man City,True,-4.95,0.18,0.02074185536685537,0.0,0.05360526315789473,0.18057971014492755,13,1050,1350
Murillo Santiago Costa dos Santos,Nott'm Forest,DEF,36,Leicester,True,2.2,0.18,0.0016666666666666666,0.2656666666666666,0.17927780419087863,0.06,11,1200,1090
Danny Welbeck,Brighton,FWD,36,Wolves,False,0.75,0.18,0.03982972582972584,0.1298297258297258,0.1379945849472165,0.18466666666666667,20,1140,1120
Cody Gakpo,Liverpool,FWD,36,Arsenal,True,0.6,0.18,0.11616170798156095,0.18816170798156087,0.1759103733459093,0.1710344827586207,1,1340,1300
