name,team,position,opponent_name,was_home,fixture_difficulty,predicted_card_prob
Emile Smith Rowe,Fulham,MID,Everton,True,0.75,0.35
Tomáš Souček,West Ham,MID,Man Utd,False,-0.45,0.35
James Ward-Prowse,West Ham,MID,Man Utd,False,-0.45,0.35
Mohammed Kudus,West Ham,MID,Man Utd,False,-0.45,0.35
Jarrod Bowen,West Ham,MID,Man Utd,False,-0.45,0.35
Adama Traoré,Fulham,MID,Everton,True,0.75,0.35
Raúl Jiménez,Fulham,FWD,Everton,True,0.75,0.35
Alex Iwobi,Fulham,MID,Everton,True,0.75,0.35
Calvin Bassey,Fulham,DEF,Everton,True,0.75,0.34
Christian Nørgaard,Brentford,MID,Ipswich,False,1.2,0.33
Anthony Elanga,Nott'm Forest,MID,Leicester,True,2.2,0.33
Morgan Gibbs-White,Nott'm Forest,MID,Leicester,True,2.2,0.33
Ryan Christie,Bournemouth,MID,Aston Villa,True,-1.6,0.33
Enzo Fernández,Chelsea,MID,Newcastle,False,-0.6,0.33
Luis Díaz,Liverpool,MID,Arsenal,True,0.6,0.33
Lucas Tolentino Coelho de Lima,West Ham,MID,Man Utd,False,-0.45,0.33
Kevin Danso,Spurs,DEF,Crystal Palace,True,-0.1,0.33
Mathys Tel,Spurs,MID,Crystal Palace,True,-0.1,0.33
Marc Cucurella Saseta,Chelsea,DEF,Newcastle,False,-0.6,0.33
Antonee Robinson,Fulham,DEF,Everton,True,0.75,0.33
Dejan Kulusevski,Spurs,MID,Crystal Palace,True,-0.1,0.33
Justin Kluivert,Bournemouth,MID,Aston Villa,True,-1.6,0.33
Dango Ouattara,Bournemouth,MID,Aston Villa,True,-1.6,0.33
Yoane Wissa,Brentford,FWD,Ipswich,False,1.2,0.33
Ismaïla Sarr,Crystal Palace,MID,Spurs,False,-0.9,0.33
Mohamed Salah,Liverpool,MID,Arsenal,True,0.6,0.33
Diogo Dalot Teixeira,Man Utd,DEF,West Ham,True,0.15,0.33
Youri Tielemans,Aston Villa,MID,Bournemouth,False,-0.8,0.33
Lewis Cook,Bournemouth,MID,Aston Villa,True,-1.6,0.33
Aaron Wan-Bissaka,West Ham,DEF,Man Utd,False,-0.45,0.33
Alexis Mac Allister,Liverpool,MID,Arsenal,True,0.6,0.33
Marcus Tavernier,Bournemouth,MID,Aston Villa,True,-1.6,0.33
Callum Hudson-Odoi,Nott'm Forest,MID,Leicester,True,2.2,0.33
Patrick Dorgu,Man Utd,DEF,West Ham,True,0.15,0.33
Jacob Murphy,Newcastle,MID,Chelsea,True,-2.2,0.33
Erling Haaland,Man City,FWD,Southampton,False,2.85,0.33
Cole Palmer,Chelsea,MID,Newcastle,False,-0.6,0.33
Mitoma Kaoru,Brighton,MID,Wolves,False,0.75,0.33
Chris Wood,Nott'm Forest,FWD,Leicester,True,2.2,0.33
Eberechi Eze,Crystal Palace,MID,Spurs,False,-0.9,0.33
Marco Asensio,Aston Villa,MID,Bournemouth,False,-0.8,0.33
Brennan Johnson,Spurs,MID,Crystal Palace,True,-0.1,0.33
Harvey Barnes,Newcastle,MID,Chelsea,True,-2.2,0.33
Emerson Palmieri dos Santos,West Ham,DEF,Man Utd,False,-0.45,0.33
Abdoulaye Doucouré,Everton,MID,Fulham,False,-0.35,0.33
Omar Marmoush,Man City,FWD,Southampton,False,2.85,0.33
Dominik Szoboszlai,Liverpool,MID,Arsenal,True,0.6,0.33
Morgan Rogers,Aston Villa,MID,Bournemouth,False,-0.8,0.33
