name,team,position,price,ExpPts,Squad,XI
Mohamed Salah,Liverpool,MID,13.7,8.18,1,1
Erling Haaland,Man City,FWD,14.8,5.27,1,1
Bukayo Saka,Arsenal,MID,10.2,6.63,1,1
Alexander Isak,Newcastle,FWD,9.3,5.15,1,1
Luis Díaz,Liverpool,MID,7.6,5.0600000000000005,1,1
Marco Asensio,Aston Villa,MID,0.1,5.51,1,1
Cole Palmer,Chelsea,MID,11.4,5.65,1,1
Gabriel dos Santos Magalhães,Arsenal,DEF,6.4,3.2700000000000005,1,1
Trent Alexander-Arnold,Liverpool,DEF,7.2,4.330000000000001,1,1
David Raya Martin,Arsenal,GK,5.6,3.31,1,1
Joško Gvardiol,Man City,DEF,6.0,3.09,1,1
